종목명,일자,종가,외인,연기금,투신,사모,거래량,거래대금(억)
삼성전기,20260428,839000.0,45635.727,2959.992,-15142.272,358.253,672656.0,5643.58384
삼성전기,20260427,794000.0,56717.802,-23288.02,-18329.49,-10911.942,528597.0,4197.06018
삼성전기,20260424,788000.0,-7472.604,3830.468,-29890.416,-5039.26,548023.0,4318.42124
삼성전기,20260423,774000.0,-60392.898,-26411.976,-64136.736,-20766.42,1114182.0,8623.76868
삼성전기,20260422,812000.0,1430.744,-10469.116,-18900.924,-12500.74,971103.0,7885.35636
삼성전기,20260421,772000.0,109647.16,-9108.828,-860.008,2128.404,1092504.0,8434.13088
삼성전기,20260420,680000.0,-125544.32,-6684.4,-306.68,-5156.44,605335.0,4116.278
삼성전기,20260417,679000.0,22700.328,-9506.679,8172.444,-18876.879,817980.0,5554.0842
삼성전기,20260416,639000.0,7277.571,-4581.63,-2738.754,-1168.092,556668.0,3557.10852
삼성전기,20260415,614000.0,58525.252,2154.526,1049.94,-398.486,710091.0,4359.95874
삼성전기,20260414,584000.0,-2647.272,-7577.4,8281.704,-3015.776,525813.0,3070.74792
삼성전기,20260413,568000.0,-42855.6,1192.232,6654.688,-4637.152,515832.0,2929.92576
삼성전기,20260410,565000.0,35401.205,-11038.405,-7720.16,2453.795,1086670.0,6139.6855
삼성전기,20260409,516000.0,-24408.348,9574.896,-1933.968,-549.54,487268.0,2514.30288
삼성전기,20260408,514000.0,56135.996,4989.912,11581.448,15027.304,942226.0,4843.04164
삼성전기,20260407,457000.0,27254.566,-6236.679,-2288.656,-10073.194,505864.0,2311.79848
삼성전기,20260406,462000.0,9720.018,1280.664,-1288.518,4263.336,366060.0,1691.1972
삼성전기,20260403,456000.0,143401.968,2043.792,5909.76,10981.848,831535.0,3791.7996
삼성전기,20260402,417000.0,51062.484,-9957.543,-10684.791,-19820.844,707703.0,2951.12151
삼성전기,20260401,444500.0,-7711.6305,-6131.433,12651.8035,13868.4,581173.0,2583.313985
삼성전기,20260331,407500.0,-22830.595,-3773.0425,-5930.3475,3293.0075,774995.0,3158.104625
삼성전기,20260330,429000.0,18273.684,-2077.647,-981.981,3410.979,541825.0,2324.42925
삼성물산,20260512,435000.0,3065.88,6692.475,10039.365,-8139.72,965392.0,4199.4552
