거래ID,진입일,종목명,종목코드,진입순위,AI수급점수,진입유형,스윙우선순위,추천소스,진입코멘트,보유일수,청산방식,청산사유,진입가,청산일,청산가,수익률,상태
20251217_삼성물산_D10,2025-12-17,삼성물산,28260.0,3,15.0,주도눌림,44.39,리플레이,연기금 10일 순매수 · 거래대금 대비 수급 양호 · 대형 주도주 조건 · 기관 동행 · 대형 주도주 눌림,10,D+10,D+10,243000.0,2026-01-05,254500.0,4.7325,closed
20251217_삼성전자우_D5,2025-12-17,삼성전자우,5935.0,1,36.0,주도눌림,51.41,리플레이,연기금 10일 순매수 · 대형 주도주 조건 · 대형 주도주 눌림,5,D+5,D+5,83900.0,2025-12-24,85800.0,2.2646,closed
20251217_현대모비스_D5,2025-12-17,현대모비스,12330.0,2,26.0,주도돌파,46.94,리플레이,연기금 10일 순매수 · 대형 주도주 조건 · 기관 동행 · 대형 주도주 돌파,5,D+5,D+5,362000.0,2025-12-24,365000.0,0.8287,closed
20251217_삼성물산_D5,2025-12-17,삼성물산,28260.0,3,15.0,주도눌림,44.39,리플레이,연기금 10일 순매수 · 거래대금 대비 수급 양호 · 대형 주도주 조건 · 기관 동행 · 대형 주도주 눌림,5,D+5,D+5,243000.0,2025-12-24,240000.0,-1.2346,closed
20251217_삼성물산_SIGNAL,2025-12-17,삼성물산,28260.0,3,15.0,주도눌림,44.39,리플레이,연기금 10일 순매수 · 거래대금 대비 수급 양호 · 대형 주도주 조건 · 기관 동행 · 대형 주도주 눌림,5,시그널,수급훼손,243000.0,2025-12-24,240000.0,-1.2346,closed
20251217_삼성전자우_SIGNAL,2025-12-17,삼성전자우,5935.0,1,36.0,주도눌림,51.41,리플레이,연기금 10일 순매수 · 대형 주도주 조건 · 대형 주도주 눌림,10,시그널,목표수익+,83900.0,2026-01-05,102000.0,21.5733,closed
20251217_현대모비스_SIGNAL,2025-12-17,현대모비스,12330.0,2,26.0,주도돌파,46.94,리플레이,연기금 10일 순매수 · 대형 주도주 조건 · 기관 동행 · 대형 주도주 돌파,16,시그널,목표수익+,362000.0,2026-01-13,451000.0,24.5856,closed
20251218_현대모비스_D10,2025-12-18,현대모비스,12330.0,1,37.0,주도눌림,57.81,리플레이,연기금 10일 순매수 · 대형 주도주 조건 · 기관 동행 · 대형 주도주 눌림,10,D+10,D+10,352000.0,2026-01-06,366000.0,3.9773,closed
20251218_삼성전자우_D10,2025-12-18,삼성전자우,5935.0,2,25.0,주도돌파,43.58,리플레이,연기금 10일 순매수 · 대형 주도주 조건 · 대형 주도주 돌파,10,D+10,D+10,82700.0,2026-01-06,102500.0,23.942,closed
20251218_현대모비스_D5,2025-12-18,현대모비스,12330.0,1,37.0,주도눌림,57.81,리플레이,연기금 10일 순매수 · 대형 주도주 조건 · 기관 동행 · 대형 주도주 눌림,5,D+5,D+5,352000.0,2025-12-26,358000.0,1.7045,closed
20251218_삼성전자우_D5,2025-12-18,삼성전자우,5935.0,2,25.0,주도돌파,43.58,리플레이,연기금 10일 순매수 · 대형 주도주 조건 · 대형 주도주 돌파,5,D+5,D+5,82700.0,2025-12-26,88500.0,7.0133,closed
20251218_현대모비스_SIGNAL,2025-12-18,현대모비스,12330.0,1,37.0,주도눌림,57.81,리플레이,연기금 10일 순매수 · 대형 주도주 조건 · 기관 동행 · 대형 주도주 눌림,9,시그널,수급훼손,352000.0,2026-01-05,372000.0,5.6818,closed
20251218_삼성전자우_SIGNAL,2025-12-18,삼성전자우,5935.0,2,25.0,주도돌파,43.58,리플레이,연기금 10일 순매수 · 대형 주도주 조건 · 대형 주도주 돌파,9,시그널,목표수익+,82700.0,2026-01-05,102000.0,23.3374,closed
